ID	ran_in_way_pipeline	ClusterK2_kmeans	ClusterK3_kmeans	ClusterK4_kmeans	ClusterK2_NMF	ClusterK3_NMF	ClusterK4_NMF	ClusterK4_kmeans_TCGA_names	external_HGSCsubtype_estimate
Sample_19291X275	True	1.0	2.0	2.0	1.0	2.0	4.0	Proliferative	
Sample_19291X277	True	1.0	1.0	1.0	2.0	1.0	3.0	Mesenchymal	
Sample_19291X278	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X279	True	1.0	1.0	1.0	1.0	1.0	4.0	Mesenchymal	
Sample_19291X280	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X282	True	1.0	1.0	1.0	1.0	2.0	4.0	Mesenchymal	
Sample_19291X284	True	1.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X285	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X287	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X288	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X289	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X290	True	1.0	1.0	3.0	1.0	1.0	3.0	Immunoreactive	
Sample_19291X291	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X292	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X294	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X295	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X296	True	2.0	3.0	4.0	2.0	3.0	4.0	Differentiated	
Sample_19291X298	True	1.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X299	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X301	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X302	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X304	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X305	True	1.0	3.0	3.0	2.0	1.0	3.0	Immunoreactive	
