ID	ran_in_way_pipeline	ClusterK2_kmeans	ClusterK3_kmeans	ClusterK4_kmeans	ClusterK2_NMF	ClusterK3_NMF	ClusterK4_NMF	ClusterK4_kmeans_TCGA_names	external_HGSCsubtype_estimate
Sample_20160X102	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X91	True	1.0	1.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X113	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X170	True	2.0	2.0	3.0	1.0	2.0	3.0	Immunoreactive	
Sample_20160X171	True	1.0	1.0	1.0	1.0	3.0	2.0	Mesenchymal	
Sample_20160X114	True	1.0	1.0	1.0	2.0	3.0	3.0	Mesenchymal	
Sample_20160X115	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X172	True	1.0	2.0	4.0	2.0	2.0	2.0	Differentiated	
Sample_20160X92	True	1.0	2.0	4.0	2.0	2.0	2.0	Differentiated	
Sample_20160X116	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X117	True	1.0	3.0	4.0	1.0	3.0	3.0	Differentiated	
Sample_20160X199	True	1.0	1.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X173	True	1.0	1.0	1.0	2.0	1.0	1.0	Mesenchymal	
Sample_20160X174	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X154	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X274	True	2.0	3.0	3.0	1.0	3.0	2.0	Immunoreactive	
Sample_20160X103	True	1.0	1.0	1.0	2.0	1.0	2.0	Mesenchymal	
Sample_18341X20	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	C5.PRO
Sample_20160X273	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_20160X183	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X155	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X138	True	1.0	2.0	4.0	1.0	3.0	4.0	Differentiated	
Sample_20160X104	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X175	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X200	True	1.0	2.0	4.0	2.0	2.0	2.0	Differentiated	
Sample_20160X176	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X139	True	1.0	1.0	1.0	2.0	1.0	1.0	Mesenchymal	
Sample_20160X156	True	2.0	2.0	4.0	1.0	3.0	3.0	Differentiated	
Sample_20160X16	True	1.0	1.0	1.0	2.0	2.0	2.0	Mesenchymal	
Sample_20160X177	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X118	True	1.0	1.0	1.0	2.0	1.0	3.0	Mesenchymal	
Sample_20160X286	True	1.0	1.0	1.0	2.0	1.0	4.0	Mesenchymal	
Sample_20160X157	True	1.0	1.0	1.0	2.0	2.0	2.0	Mesenchymal	
Sample_20160X158	True	1.0	1.0	1.0	2.0	1.0	1.0	Mesenchymal	
Sample_20160X140	True	1.0	1.0	1.0	2.0	3.0	3.0	Mesenchymal	
Sample_20160X93	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X105	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X178	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X119	True	2.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X120	True	1.0	1.0	1.0	2.0	2.0	2.0	Mesenchymal	
Sample_20160X121	True	1.0	1.0	1.0	2.0	2.0	1.0	Mesenchymal	
Sample_20160X122	True	1.0	1.0	1.0	2.0	1.0	3.0	Mesenchymal	
Sample_20160X123	True	1.0	1.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X124	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X17	True	1.0	1.0	4.0	1.0	3.0	3.0	Differentiated	
Sample_20160X94	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X125	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X106	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X95	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X59	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X159	True	1.0	1.0	4.0	2.0	1.0	3.0	Differentiated	
Sample_20160X126	True	1.0	1.0	1.0	2.0	1.0	2.0	Mesenchymal	
Sample_20160X96	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X201	True	1.0	2.0	4.0	1.0	3.0	4.0	Differentiated	
Sample_20160X18	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X275	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X97	True	1.0	1.0	1.0	2.0	3.0	1.0	Mesenchymal	
Sample_20160X293	True	1.0	1.0	1.0	2.0	3.0	1.0	Mesenchymal	
Sample_20160X98	True	1.0	1.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X202	True	1.0	2.0	4.0	1.0	2.0	4.0	Differentiated	
Sample_20160X19	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X127	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X20	True	1.0	2.0	4.0	2.0	2.0	2.0	Differentiated	
Sample_20160X128	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X99	True	1.0	1.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X100	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X129	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X130	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X60	True	1.0	1.0	1.0	2.0	1.0	3.0	Mesenchymal	
Sample_20160X141	True	1.0	1.0	1.0	2.0	2.0	2.0	Mesenchymal	
Sample_20160X131	True	1.0	1.0	1.0	2.0	1.0	2.0	Mesenchymal	
Sample_20160X21	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X160	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X22	True	1.0	2.0	4.0	1.0	2.0	4.0	Differentiated	
Sample_20160X287	True	1.0	1.0	1.0	2.0	1.0	1.0	Mesenchymal	
Sample_20160X258	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X294	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_18341X18	True	1.0	1.0	1.0	2.0	1.0	2.0	Mesenchymal	C1.MES
Sample_20160X77	True	1.0	1.0	1.0	2.0	1.0	1.0	Mesenchymal	
Sample_20160X142	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X282	True	2.0	2.0	4.0	1.0	2.0	3.0	Differentiated	
Sample_20160X143	True	1.0	1.0	1.0	2.0	3.0	3.0	Mesenchymal	
